host_gene	n_datasets
ADAM17	3
ADSL	3
AEBP2	3
AFF3	3
ALG8	3
ALG9	3
AMBRA1	3
ANKHD1	3
ANKHD1-EIF4EBP3	3
ANKRD12	3
ANKRD17	3
ANKRD36	3
ANKRD36C	3
APBB2	3
ARFGEF1	3
ARHGAP10	3
ARHGAP5	3
ARID1A	3
ARID4B	3
ASAP1	3
ASH1L	3
ASH1L-IT1	3
ASXL1	3
ATAD2B	3
ATAD3A	3
ATAD3B	3
ATM	3
ATP6V1A	3
ATXN10	3
ATXN2	3
BARD1	3
BIRC6	3
BMPR2	3
BPTF	3
BRAF	3
BRWD1	3
BTAF1	3
BUB1	3
CANX	3
CCAR1	3
CCDC91	3
CCNI	3
CCSER2	3
CDK11A	3
CDK13	3
CDYL	3
CEP192	3
CHAF1A	3
CHD2	3
CHD9	3
CLASP1	3
CLIP1	3
CLPX	3
COG7	3
CPNE1	3
CSNK1G1	3
CTCF	3
CUL1	3
CWF19L2	3
DAP3	3
DDX46	3
DENND5A	3
DENND5B	3
DIAPH3	3
DKC1	3
DLEU2	3
DLG1	3
DNA2	3
DNAH14	3
DNMT1	3
DOCK1	3
DZIP1	3
EFTUD2	3
EIF2B3	3
EIF4G3	3
ELF2	3
EML4	3
ENO1	3
ENSG00000236073	3
ENSG00000242588	3
ENSG00000249319	3
ENSG00000258529	3
ENSG00000258539	3
ENSG00000259316	3
ENSG00000261864	3
ENSG00000263494	3
ENSG00000265257	3
ENSG00000268575	3
ENSG00000269967	3
ENSG00000272772	3
ENSG00000272897	3
ENSG00000274023	3
ENSG00000274591	3
ENSG00000279573	3
ENSG00000279880	3
ENSG00000282278	3
ENSG00000284431	3
ENSG00000284740	3
ENSG00000285053	3
ENSG00000285708	3
ENSG00000285733	3
ENSG00000288678	3
ENSG00000289720	3
ENSG00000290180	3
ENSG00000290916	3
ENSG00000291314	3
ETV6	3
EXOC6	3
EXOC6B	3
FAM120A	3
FAM13B	3
FAM193A	3
FAM53B	3
FBXW4	3
FIP1L1	3
FOCAD	3
FOXP1	3
FXR1	3
GIGYF2	3
GNB1	3
GTF2I	3
GTF3C2	3
H2AZ1	3
HERC4	3
HIGD1AP16	3
HIPK3	3
HOMER1	3
HP1BP3	3
IPO7	3
KDM1B	3
KHDRBS1	3
KIF16B	3
KMT2C	3
LARP4	3
LARP4B	3
LHFPL2	3
LRBA	3
MALAT1	3
MAN1A2	3
MAPK9	3
MATR3	3
MBOAT2	3
MED13L	3
MID1	3
MIR1256	3
MSTO1	3
MSTO2P	3
MTDH	3
MTHFD1L	3
MTPAP	3
MYCBP2	3
MYO10	3
MYO6	3
Metazoa_SRP	3
N4BP2L2	3
NAA25	3
NCOR1	3
NEIL3	3
NEMF	3
NFATC3	3
NSD1	3
NSD2	3
NUCKS1	3
OSTCP8	3
PALS2	3
PCNX4	3
PDS5A	3
PEAK1	3
PHC3	3
PHF20	3
PICALM	3
PIP5K1A	3
POLE2	3
PPP6R3	3
PRKRIP1	3
PRPF40A	3
PSMC3	3
PTK2	3
PTP4A2	3
PTPRA	3
PTPRG	3
PUM2	3
QSER1	3
RANBP9	3
RARS1	3
RBM12	3
RBM23	3
RBM39	3
RBM6	3
RERE	3
RNU4-40P	3
RNU6-862P	3
RPS15AP6	3
RREB1	3
SCAF8	3
SCLT1	3
SCMH1	3
SEC24B	3
SETD2	3
SHOC2	3
SIPA1L3	3
SLC35E2B	3
SLC38A1	3
SLC4A7	3
SMAP1	3
SMC6	3
SMG6	3
SMU1	3
SMYD3	3
SNTB2	3
SOBP	3
SPATS2	3
SPECC1	3
SPIDR	3
SRRM2	3
STAG1	3
STK24	3
STRN3	3
SUPT16H	3
TASOR2	3
TBCE	3
TDRD3	3
TET1	3
THOC2	3
TIAM2	3
TMCC1	3
TMTC2	3
TNRC6B	3
TOP2A	3
TPST1	3
TRIM24	3
TRIM59-IFT80	3
TRIO	3
TRPM7	3
TUBA1A	3
TUBA1B	3
TULP4	3
UBA1	3
UBA2	3
UBAP2	3
UBC	3
UBE2G1	3
UGGT2	3
UIMC1	3
UQCC1	3
USP3	3
USP34	3
USP48	3
UXS1	3
VAPA	3
VMP1	3
VPS13A	3
VPS13B	3
WAC	3
WDR27	3
XPO1	3
Y_RNA	3
ZC3HC1	3
ZFHX3	3
ZKSCAN1	3
ZNF124	3
ZNF148	3
ZNF644	3
ZNF765	3
