cell_id	circRNA_count	circRNA_total_support	detected_genes	frac_rt_pos	frac_rt_neg
HAP1_scRR1_MidS_104	42	217	11830	0.5436261669098644	0.45016789437597793
HAP1_scRR1_MidS_103	41	435	10189	0.4727940788664053	0.5218262688771295
HAP1_scRR1_MidS_102	54	545	9996	0.4547212601747508	0.5403737627678838
HAP1_scRR1_MidS_096	62	499	11203	0.49056802798825616	0.5023645857140345
HAP1_scRR1_MidS_095	70	339	12085	0.5822858247921099	0.4128267787134544
HAP1_scRR1_MidS_094	78	665	10751	0.6582162760851602	0.33517343225330076
HAP1_scRR1_MidS_091	116	525	11876	0.6499358309453068	0.3166259383625464
HAP1_scRR1_MidS_059	54	276	10268	0.43239394525412705	0.5610133436472636
HAP1_scRR1_MidS_057	36	371	9283	0.48538176192401683	0.5080431075403035
HAP1_scRR1_MidS_055	30	286	9163	0.45799124487966103	0.5357149135915332
HAP1_scRR1_MidS_054	29	287	10134	0.5649513897434996	0.43116330584905327
HAP1_scRR1_MidS_053	36	226	10500	0.41780207802253827	0.5758337581969375
HAP1_scRR1_MidS_051	50	315	10526	0.3979184613491324	0.5954888275522582
HAP1_scRR1_MidS_050	43	294	10256	0.46959441641321353	0.5257994760992247
HAP1_scRR1_MidS_043	40	297	10003	0.5309154199117456	0.46433782809725566
HAP1_scRR1_MidS_089	144	574	13289	0.6493556723686292	0.3458272533886535
HAP1_scRR1_MidS_086	64	538	10812	0.5625252720592113	0.43147975598178656
HAP1_scRR1_MidS_084	86	579	11253	0.6115926231957948	0.38304530511066964
HAP1_scRR1_MidS_080	98	584	11007	0.630474147782212	0.3630386244967564
HAP1_scRR1_MidS_007	27	245	10438	0.49362704593801093	0.501731685448568
HAP1_scRR1_MidS_038	42	323	9725	0.4567781860375169	0.5367873279302403
HAP1_scRR1_MidS_036	55	545	9864	0.42059738752834863	0.5747261827323711
HAP1_scRR1_MidS_035	27	198	10106	0.5544557936745135	0.4417292241697579
HAP1_scRR1_MidS_034	18	294	9477	0.6616620664193668	0.3337669872189308
HAP1_scRR1_MidS_032	35	357	9556	0.558464162022468	0.43661328035723707
HAP1_scRR1_MidS_031	38	250	10730	0.3943144459485593	0.5994971959002128
HAP1_scRR1_MidS_029	40	378	9941	0.6370492783178917	0.35721945816705053
HAP1_scRR1_MidS_028	44	470	9708	0.5122624426434135	0.4834303194388284
HAP1_scRR1_MidS_079	86	728	10380	0.6236177282396582	0.36968407728415464
HAP1_scRR1_MidS_078	116	459	11658	0.47506197148432694	0.519030959371319
HAP1_scRR1_MidS_077	99	693	10339	0.6121200400836835	0.38339691636926215
HAP1_scRR1_MidS_074	86	562	11029	0.4309699196568274	0.5631933334505371
HAP1_scRR1_MidS_073	122	660	12056	0.6334628434802483	0.3613157293296531
HAP1_scRR1_MidS_071	60	498	10223	0.5427647193263129	0.4520138534835885
HAP1_scRR1_MidS_070	91	536	10993	0.6113816564406392	0.38429352507867304
HAP1_scRR1_MidS_026	37	304	9658	0.4313918531671384	0.5629999472583113
HAP1_scRR1_MidS_025	53	383	10657	0.5474587296285227	0.4486911270898894
HAP1_scRR1_MidS_024	45	251	10759	0.40231360208153866	0.5903025614880189
HAP1_scRR1_MidS_023	37	412	10078	0.4124048452031434	0.5821100191628136
HAP1_scRR1_MidS_021	36	266	10639	0.6680086496369614	0.32668202035829186
HAP1_scRR1_MidS_020	30	328	10288	0.5583586786448902	0.4364550552908704
HAP1_scRR1_MidS_018	36	302	10573	0.5113482533710729	0.47381375151632354
HAP1_scRR1_MidS_017	52	388	10590	0.5822858247921099	0.41263339252122855
HAP1_scRR1_MidS_110	35	295	10419	0.4984617007436578	0.4963871943179621
HAP1_scRR1_MidS_109	38	326	9889	0.5724582901144495	0.4232872136565813
HAP1_scRR1_MidS_108	41	237	10163	0.5336755682916967	0.4606459098820344
HAP1_scRR1_MidS_107	78	350	10870	0.5718605509748422	0.42212689650322605
HAP1_scRR1_MidS_106	76	505	11075	0.5248852868268842	0.4703328000562578
HAP1_scRR1_MidS_105	74	296	12157	0.6408466799106908	0.35349237882597
HAP1_scRR1_MidS_069	119	758	11168	0.5587278704664124	0.4318841089291679
HAP1_scRR1_MidS_068	72	692	9903	0.43508377138235965	0.5598002848051195
HAP1_scRR1_MidS_066	79	574	11106	0.5595541569241047	0.43499586856771155
HAP1_scRR1_MidS_064	69	455	10501	0.5055115064784375	0.4907262530546228
HAP1_scRR1_MidS_063	45	273	10082	0.5020657161442309	0.4923964065329372
HAP1_scRR1_MidS_061	31	299	9761	0.4993758900159983	0.4950159104094513
HAP1_scRR1_MidS_005	35	558	10078	0.5685026634552839	0.427471387633832
