host_gene	n_circRNAs	cnv_metric	high_group_cutoff	low_group_cutoff	n_high_cells	n_low_cells	high_mean_support	low_mean_support	difference	log2_fc_pseudocount1	high_detected_cells	low_detected_cells
Y_RNA	9	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	30.166666666666668	4.666666666666667	25.5	2.4594316186372973	4	4
TUBA1A	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	28.166666666666668	3.5	24.666666666666668	2.6963236096688603	2	1
TUBA1B	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	28.166666666666668	3.5	24.666666666666668	2.6963236096688603	2	1
LDHA	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	12.0	0.0	12.0	3.700439718141092	4	0
LDHC	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	11.833333333333334	0.0	11.833333333333334	3.6818240399737454	3	0
COL1A1	18	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	12.0	1.8333333333333333	10.166666666666666	2.197939377611909	5	4
CDK11B	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	4.0	0.16666666666666666	3.8333333333333335	2.0995356735509145	4	1
CDK11A	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	4.166666666666667	1.0	3.166666666666667	1.369233809665719	5	4
ENSG00000268575	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	4.166666666666667	1.0	3.166666666666667	1.369233809665719	5	4
SLC35E2B	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	4.166666666666667	1.0	3.166666666666667	1.369233809665719	5	4
RN7SKP80	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	2.3333333333333335	0.3333333333333333	2.0	1.3219280948873626	2	1
RNU6-513P	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	2.3333333333333335	0.3333333333333333	2.0	1.3219280948873626	2	1
RRP7A	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	2.3333333333333335	0.3333333333333333	2.0	1.3219280948873626	2	1
RRP7BP	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	2.3333333333333335	0.3333333333333333	2.0	1.3219280948873626	2	1
FN1	35	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	3.3333333333333335	1.5	1.8333333333333335	0.7935491225325738	6	3
DAP3	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.8333333333333333	0.0	1.8333333333333333	1.502500340529183	3	0
FMN2	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.8333333333333333	0.0	1.8333333333333333	1.502500340529183	2	0
CORO1C	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	2.5	0.8333333333333334	1.6666666666666665	0.9328858041414629	4	2
ERBIN	6	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.8333333333333333	0.3333333333333333	1.5	1.0874628412503393	2	1
GSTM2	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.5	0.0	1.5	1.3219280948873624	3	0
GSTM4	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.5	0.0	1.5	1.3219280948873624	3	0
IFITM2	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	3.6666666666666665	2.1666666666666665	1.5	0.5594274086140185	1	1
FCHO2	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.5	0.16666666666666666	1.3333333333333333	1.0995356735509143	3	1
PXDN	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.3333333333333333	0.0	1.3333333333333333	1.2223924213364477	2	0
UBE2G1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.3333333333333333	0.0	1.3333333333333333	1.2223924213364477	2	0
VIM	10	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	2.5	1.1666666666666667	1.3333333333333333	0.691877704637668	5	5
GSTM1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.1666666666666667	0.0	1.1666666666666667	1.115477217419936	2	0
IPO7	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.1666666666666667	0.0	1.1666666666666667	1.115477217419936	1	0
P4HB	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.1666666666666667	0.0	1.1666666666666667	1.115477217419936	1	0
WDR7	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.1666666666666667	0.0	1.1666666666666667	1.115477217419936	1	0
AFAP1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.3333333333333333	0.3333333333333333	1.0	0.807354922057604	2	1
ANKRD17	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.3333333333333333	0.3333333333333333	1.0	0.807354922057604	3	1
ARHGAP5	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
BNC2	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
CLDN11	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
DCBLD2	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
ENSG00000282278	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
ENSG00000285053	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
ENSG00000285218	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
ENSG00000288681	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	3.6666666666666665	2.6666666666666665	1.0	0.3479233034203068	1	2
FIP1L1	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
IFITM1	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	3.6666666666666665	2.6666666666666665	1.0	0.3479233034203068	1	2
LMF1	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
MIR6828	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
MSTO1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
MSTO2P	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
NAB1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
NEAT1	4	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
PDE1C	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
RB1CC1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
TBCE	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	1	0
ZNF207	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.0	1.0	1.0	2	0
ADAM17	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
BPTF	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	2	0
CDK17	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
DPP4	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
EML5	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
ENSG00000279573	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	2	0
ENSG00000279880	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	2	0
ENSG00000289720	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	2	0
EPHB2	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
FAP	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
GCG	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
ITCH	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	2	0
MAML2	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
MAN1A2	3	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.0	0.16666666666666666	0.8333333333333334	0.777607578663552	3	1
MRPL18	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	2	0
RNU4-24P	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
RPN2	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
TIMM8AP1	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.0	0.8333333333333334	0.8744691179161412	1	0
COL6A3	8	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.3333333333333333	0.5	0.8333333333333333	0.6374299206152916	2	2
SATB2	2	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	1.3333333333333333	0.5	0.8333333333333333	0.6374299206152916	2	1
ATP5MGP7	1	frac_non_diploid	0.12734502615209464	0.09448578547032521	6	6	0.8333333333333334	0.16666666666666666	0.6666666666666667	0.6520766965796931	1	1
