cell_id	rna_umap1	rna_umap2	detected_genes	circRNA_count	circRNA_total_support	host_gene_DYNC2I1_host_support	circRNA_DYNC2I1_top_circ_support	host_gene_MAN1A2_host_support	circRNA_MAN1A2_top_circ_support	host_gene_PTP4A2_host_support	circRNA_PTP4A2_top_circ_support
DIYHEK_1	4.4385853	9.887399	8656	11	34	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_10	5.6455555	13.150325	9046	10	13	0.0	0.0	0.0	0.0	1.0	1.0
DIYHEK_100	5.06746	9.036642	8989	25	53	4.0	4.0	0.0	0.0	0.0	0.0
DIYHEK_101	7.3010454	13.257398	9818	22	43	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_102	6.9258366	14.011803	9766	18	29	0.0	0.0	1.0	0.0	0.0	0.0
DIYHEK_103	2.9484398	13.216609	9622	22	59	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_104	8.7997675	11.793843	8631	19	47	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_105	4.3655133	12.715501	8827	10	26	0.0	0.0	0.0	0.0	1.0	1.0
DIYHEK_106	7.7004895	14.401658	9359	11	25	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_107	3.5803	8.869335	8423	12	24	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_108	4.713678	12.152241	8702	23	47	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_109	4.0978956	13.38233	9957	50	197	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_11	7.0450206	11.3986225	7607	1	2	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_110	2.8363464	13.917356	10595	53	102	0.0	0.0	1.0	1.0	1.0	1.0
DIYHEK_111	3.351837	8.509883	9066	22	64	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_112	8.546749	12.584178	10465	36	83	0.0	0.0	1.0	0.0	1.0	1.0
DIYHEK_113	4.6279836	9.416004	9778	25	54	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_114	2.2803526	13.623336	9764	26	78	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_115	6.4284096	11.97613	10450	41	98	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_116	7.3883505	12.399027	9513	22	48	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_117	4.0033593	8.512347	9020	13	33	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_118	6.95765	12.808915	9301	13	31	0.0	0.0	0.0	0.0	2.0	2.0
DIYHEK_119	6.75935	12.585373	8684	5	6	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_12	4.2599683	7.7724304	9355	21	56	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_120	5.9523406	9.891439	9816	22	57	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_121	3.833253	12.166898	8709	10	21	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_122	8.36339	14.073816	8730	4	7	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_123	7.8875885	13.536149	9063	10	21	0.0	0.0	0.0	0.0	0.0	0.0
DIYHEK_124	7.3352456	14.055213	9834	8	13	0.0	0.0	0.0	0.0	0.0	0.0
