dataset	rank	host_gene	n_circRNAs	n_cells_detected	total_support	max_cell_support	mean_support_detected	host_gene_source_counts	circRNA_ids	umap_detected_spread_ratio	umap_detected_area_fraction	umap_detected_centroid_x	umap_detected_centroid_y	score_n_cells_pct	score_total_support_pct	score_n_circRNAs_pct	score_spread_pct	combined_score
Smart-seq3	1	UBAP2	9	11	58.0	13.0	5.2727272727272725	"{""gtf"":9}"	chr9:33953285|33996333;chr9:33960826|33989126;chr9:33986760|34017189;chr9:33971651|33996333;chr9:33986760|33998864;chr9:33971651|33989126;chr9:33960826|33996333;chr9:34033981|34035284;chr9:33996223|34017189					0.9956798544793087	1.0	0.9997726239199636	0.5	0.973681218735789
Smart-seq3	2	PALS2	8	12	23.0	7.0	1.9166666666666667	"{""gtf"":8}"	chr7:24641716|24680520;chr7:24623666|24668660;chr7:24641716|24668660;chr7:24649612|24668660;chr7:24620052|24668660;chr7:24623666|24680520;chr7:24620052|24680520;chr7:24623663|24668660					0.9979536152796725	0.9940882219190541	0.9988631195998181	0.5	0.9710209185993633
Smart-seq3	3	DNAJC1	6	8	27.0	6.0	3.375	"{""gtf"":6}"	chr10:21904522|21920963;chr10:21882282|21929141;chr10:21882282|21920963;chr10:21882282|21919929;chr10:21940385|21944835;chr10:21853717|21866057					0.992269213278763	0.9972714870395635	0.9961346066393816	0.5	0.970793542519327
Smart-seq3	4	CHD2	6	8	26.0	9.0	3.25	"{""gtf"":6}"	chr15:92996957|92998621;chr15:92920061|92924090;chr15:92996957|93002317;chr15:93000512|93009323;chr15:93015357|93019622;chr15:92921190|92946340					0.992269213278763	0.9963619827194179	0.9961346066393816	0.5	0.9702933151432469
Smart-seq3	5	N4BP2L2	5	7	26.0	8.0	3.7142857142857144	"{""gtf"":5}"	chr13:32517857|32527532;chr13:32481055|32483919;chr13:32486151|32487946;chr13:32525445|32532833;chr13:32530004|32533717					0.9911323328785812	0.9963619827194179	0.9915870850386539	0.5	0.9694974988631196
Smart-seq3	6	MAN1A2	3	12	31.0	6.0	2.5833333333333335	"{""gtf"":3}"	chr1:117402186|117405645;chr1:117402186|117420649;chr1:117402186|117414831					0.9979536152796725	0.9995452478399273	0.9520236471123238	0.5	0.9693383356070943
Smart-seq3	7	ENSG00000269967	3	15	29.0	4.0	1.9333333333333333	"{""gtf"":3}"	chr1:31915895|31919658;chr1:31910038|31931142;chr1:31911696|31919658					0.9995452478399273	0.9984083674397454	0.9520236471123238	0.5	0.9691905411550706
Smart-seq3	8	ENSG00000288678	3	15	29.0	4.0	1.9333333333333333	"{""gtf"":3}"	chr1:31915895|31919658;chr1:31910038|31931142;chr1:31911696|31919658					0.9995452478399273	0.9984083674397454	0.9520236471123238	0.5	0.9691905411550706
Smart-seq3	9	PTP4A2	3	15	29.0	4.0	1.9333333333333333	"{""gtf"":3}"	chr1:31915895|31919658;chr1:31910038|31931142;chr1:31911696|31919658					0.9995452478399273	0.9984083674397454	0.9520236471123238	0.5	0.9691905411550706
Smart-seq3	10	Y_RNA	9	9	18.0	7.0	2.0	"{""gtf"":9}"	chr7:102330389|102384393;chr20:34377210|34385885;chr10:97409662|97437750;chr12:31500483|31507379;chr12:123348172|123350309;chr18:23022271|23026122;chr11:47721681|47732536;chr8:99431537|99577633;chr12:49129500|49186458					0.9936334697589814	0.9895407003183265	0.9997726239199636	0.5	0.9673146884947704
