rank_metric	circ_id	host_gene	host_gene_source	host_gene_annotated	detected_cells	prevalence	total_support	mean_support	max_cell_support	sparsity	rank
prevalence_then_total_support	chr1:31915895|31919658	PTP4A2;ENSG00000269967;ENSG00000288678	gtf	True	14	0.07291666666666667	26.0	0.13541666666666666	4.0	0.9270833333333334	1
prevalence_then_total_support	chr7:158869855|158876691	DYNC2I1	gtf	True	10	0.052083333333333336	28.0	0.14583333333333334	7.0	0.9479166666666666	2
prevalence_then_total_support	chr22:28757078|28822179	ENSG00000226471;CCDC117;ENSG00000272858;HSCB	gtf	True	10	0.052083333333333336	21.0	0.109375	6.0	0.9479166666666666	3
prevalence_then_total_support	chr19:21091681|21153566	RPL7AP10;RNA5SP469	gtf	True	9	0.046875	10.0	0.052083333333333336	2.0	0.953125	4
prevalence_then_total_support	chr19:17332272|17339599	GTPBP3	gtf	True	8	0.041666666666666664	18.0	0.09375	7.0	0.9583333333333334	5
prevalence_then_total_support	chr1:117402186|117420649	MAN1A2	gtf	True	6	0.03125	15.0	0.078125	6.0	0.96875	6
prevalence_then_total_support	chr1:66958059|66963160	MIER1	gtf	True	5	0.026041666666666668	16.0	0.08333333333333333	9.0	0.9739583333333334	7
prevalence_then_total_support	chr7:24623666|24668660	PALS2	gtf	True	5	0.026041666666666668	12.0	0.0625	7.0	0.9739583333333334	8
prevalence_then_total_support	chr1:117402186|117405645	MAN1A2	gtf	True	5	0.026041666666666668	11.0	0.057291666666666664	5.0	0.9739583333333334	9
prevalence_then_total_support	chr6:4891713|4892379	CDYL	gtf	True	5	0.026041666666666668	8.0	0.041666666666666664	3.0	0.9739583333333334	10
prevalence_then_total_support	chr16:25054819|25111996	LINC02175;ENSG00000262587;ENSG00000262700;SCML2P2;LCMT1	gtf	True	5	0.026041666666666668	7.0	0.036458333333333336	3.0	0.9739583333333334	11
prevalence_then_total_support	chr14:21470293|21473752	RAB2B	gtf	True	4	0.020833333333333332	20.0	0.10416666666666667	10.0	0.9791666666666666	12
prevalence_then_total_support	chr13:32517857|32527532	N4BP2L2	gtf	True	4	0.020833333333333332	16.0	0.08333333333333333	5.0	0.9791666666666666	13
prevalence_then_total_support	chr12:124911900|124913723	UBC	gtf	True	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	14
prevalence_then_total_support	chr1:247155566|247159813	ZNF124	gtf	True	4	0.020833333333333332	5.0	0.026041666666666668	2.0	0.9791666666666666	15
prevalence_then_total_support	chr10:21882282|21920963	DNAJC1	gtf	True	3	0.015625	15.0	0.078125	6.0	0.984375	16
prevalence_then_total_support	chr4:94996040|95000580	BMPR1B	gtf	True	3	0.015625	12.0	0.0625	7.0	0.984375	17
prevalence_then_total_support	chr10:5699525|5714207	TASOR2	gtf	True	3	0.015625	11.0	0.057291666666666664	6.0	0.984375	18
prevalence_then_total_support	chr1:21715389|21721764	USP48	gtf	True	3	0.015625	8.0	0.041666666666666664	4.0	0.984375	19
prevalence_then_total_support	chr3:142093061|142101841	TFDP2	gtf	True	3	0.015625	8.0	0.041666666666666664	4.0	0.984375	20
prevalence_then_total_support	chr1_KI270711v1_random:6991|11083			False	3	0.015625	8.0	0.041666666666666664	3.0	0.984375	21
prevalence_then_total_support	chr15:92996957|93002317	CHD2	gtf	True	3	0.015625	7.0	0.036458333333333336	4.0	0.984375	22
prevalence_then_total_support	chr2:196912882|196923125	PGAP1	gtf	True	3	0.015625	7.0	0.036458333333333336	4.0	0.984375	23
prevalence_then_total_support	chr3:158122103|158123991	RSRC1	gtf	True	3	0.015625	6.0	0.03125	3.0	0.984375	24
prevalence_then_total_support	chr4:128074460|128077962	LARP1B	gtf	True	3	0.015625	5.0	0.026041666666666668	3.0	0.984375	25
prevalence_then_total_support	chr19:17332292|17339599	GTPBP3	gtf	True	3	0.015625	4.0	0.020833333333333332	2.0	0.984375	26
prevalence_then_total_support	chr9:33960826|33989126	UBAP2;OSTCP8	gtf	True	2	0.010416666666666666	15.0	0.078125	10.0	0.9895833333333334	27
prevalence_then_total_support	chr7:105078846|105091314	KMT2E	gtf	True	2	0.010416666666666666	10.0	0.052083333333333336	8.0	0.9895833333333334	28
prevalence_then_total_support	chr9:33986760|34017189	UBAP2	gtf	True	2	0.010416666666666666	10.0	0.052083333333333336	7.0	0.9895833333333334	29
prevalence_then_total_support	chr5:77463095|77464809	WDR41	gtf	True	2	0.010416666666666666	9.0	0.046875	8.0	0.9895833333333334	30
prevalence_then_total_support	chr16:28185352|28186563	XPO6	gtf	True	2	0.010416666666666666	8.0	0.041666666666666664	5.0	0.9895833333333334	31
prevalence_then_total_support	chr5:177047751|177048894	ZNF346	gtf	True	2	0.010416666666666666	8.0	0.041666666666666664	5.0	0.9895833333333334	32
prevalence_then_total_support	chr8:108449823|108450492	EMC2	gtf	True	2	0.010416666666666666	8.0	0.041666666666666664	6.0	0.9895833333333334	33
prevalence_then_total_support	chr11:73693448|73694596	RAB6A	gtf	True	2	0.010416666666666666	7.0	0.036458333333333336	6.0	0.9895833333333334	34
prevalence_then_total_support	chr12:93504372|93508864	MRPL42	gtf	True	2	0.010416666666666666	7.0	0.036458333333333336	4.0	0.9895833333333334	35
prevalence_then_total_support	chr14:103451918|103457212	MARK3	gtf	True	2	0.010416666666666666	7.0	0.036458333333333336	6.0	0.9895833333333334	36
prevalence_then_total_support	chr17:82584189|82585881	FOXK2	gtf	True	2	0.010416666666666666	7.0	0.036458333333333336	6.0	0.9895833333333334	37
prevalence_then_total_support	chr19:48615421|48617844	RPL18	gtf	True	2	0.010416666666666666	7.0	0.036458333333333336	4.0	0.9895833333333334	38
prevalence_then_total_support	chr5:43533738|43583566	PAIP1;NNT-AS1	gtf	True	2	0.010416666666666666	7.0	0.036458333333333336	4.0	0.9895833333333334	39
prevalence_then_total_support	chr17:42614496|42666239	TUBG2;TUBG1;HMGB3P27;ATP5MGP7	gtf	True	2	0.010416666666666666	6.0	0.03125	5.0	0.9895833333333334	40
prevalence_then_total_support	chr4:128074460|128082305	LARP1B	gtf	True	2	0.010416666666666666	6.0	0.03125	5.0	0.9895833333333334	41
prevalence_then_total_support	chr4:128074460|128091512	LARP1B	gtf	True	2	0.010416666666666666	6.0	0.03125	3.0	0.9895833333333334	42
prevalence_then_total_support	chr7:128626795|128628948	ENSG00000242588;RNU6-177P	gtf	True	2	0.010416666666666666	6.0	0.03125	5.0	0.9895833333333334	43
prevalence_then_total_support	chr14:22909483|22911403	RBM23	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	4.0	0.9895833333333334	44
prevalence_then_total_support	chr14:32090502|32094386	ARHGAP5	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	3.0	0.9895833333333334	45
prevalence_then_total_support	chr21:34102835|34125480	MRPS6;ENSG00000272657;SLC5A3	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	3.0	0.9895833333333334	46
prevalence_then_total_support	chr2:231455232|231460562	NCL;SNORA75;SNORD20;SNORD82	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	3.0	0.9895833333333334	47
prevalence_then_total_support	chr7:39987599|40002031	CDK13	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	4.0	0.9895833333333334	48
prevalence_then_total_support	chr8:140879471|140890769	PTK2	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	4.0	0.9895833333333334	49
prevalence_then_total_support	chr9:125799410|125802469	PBX3	gtf	True	2	0.010416666666666666	5.0	0.026041666666666668	3.0	0.9895833333333334	50
prevalence_then_total_support	chr14:39179091|39179462	PNN	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	3.0	0.9895833333333334	51
prevalence_then_total_support	chr1:109661165|109690564	GSTM2;GSTM4;GSTM1	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	2.0	0.9895833333333334	52
prevalence_then_total_support	chr22:31745300|31746039	PRR14L	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	3.0	0.9895833333333334	53
prevalence_then_total_support	chr22:45349567|45350508	SMC1B	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	2.0	0.9895833333333334	54
prevalence_then_total_support	chr2:47166826|47168400	CALM2;ENSG00000273269	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	3.0	0.9895833333333334	55
prevalence_then_total_support	chr3:142736379|142748460	TRPC1	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	2.0	0.9895833333333334	56
prevalence_then_total_support	chr3:51541498|51552063	RAD54L2	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	2.0	0.9895833333333334	57
prevalence_then_total_support	chr6:167870383|167902386	AFDN	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	2.0	0.9895833333333334	58
prevalence_then_total_support	chr9:33971651|33996333	UBAP2	gtf	True	2	0.010416666666666666	4.0	0.020833333333333332	3.0	0.9895833333333334	59
prevalence_then_total_support	chr15:76274412|76295737	ETFA	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	60
prevalence_then_total_support	chr1:96797221|96801029	PTBP2	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	61
prevalence_then_total_support	chr21:39271215|39272717	BRWD1	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	62
prevalence_then_total_support	chr22:17641168|17642076	BCL2L13	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	63
prevalence_then_total_support	chr22:38986298|39025349	ENSG00000284554;APOBEC3B;APOBEC3C;APOBEC3D	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	64
prevalence_then_total_support	chr3:136586802|136591549	STAG1	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	65
prevalence_then_total_support	chr5:134004647|134174022	SKP1;ENSG00000272772;VDAC1;ENSG00000271128	gtf	True	2	0.010416666666666666	3.0	0.015625	2.0	0.9895833333333334	66
prevalence_then_total_support	chr12:112058997|112059917	NAA25	gtf	True	2	0.010416666666666666	2.0	0.010416666666666666	1.0	0.9895833333333334	67
