status	circ_id	host_gene	chrom	start	end	cnv_bin_id	n_cells	mean_local_copy_number	mean_circ_support	pearson_r	pearson_p	mean_support_by_copy_number
ok	chr9:110941421|111011690	LPAR1	chr9	110941421	111011690	chr9:110950000-111000000	23	2.0	0.34782608695652173			"{""2.0"": 0.34782608695652173}"
ok	chr9:110972073|111011690	LPAR1	chr9	110972073	111011690	chr9:110950000-111000000	23	2.0	1.2173913043478262			"{""2.0"": 1.2173913043478262}"
ok	chr9:110972073|110973558	LPAR1	chr9	110972073	110973558	chr9:110950000-111000000	23	2.0	5.521739130434782			"{""2.0"": 5.521739130434782}"
ok	chr9:131643239|131650949	RAPGEF1	chr9	131643239	131650949	chr9:131600000-131650000	23	1.826086956521739	0.13043478260869565	-0.4646601886422926	0.02549182097304459	"{""1.0"": 0.75, ""2.0"": 0.0}"
ok	chr7:849373|849578	SUN1	chr7	849373	849578	chr7:800000-850000	23	1.826086956521739	0.08695652173913043	-0.46466018864229264	0.025491820973044515	"{""1.0"": 0.5, ""2.0"": 0.0}"
ok	chr7:73683592|73687095	BUD23	chr7	73683592	73687095	chr7:73650000-73700000	23	1.9130434782608696	0.043478260869565216	0.0657951694959769	0.7654978135179871	"{""1.0"": 0.0, ""2.0"": 0.047619047619047616}"
ok	chr7:94411056|94413110	COL1A2	chr7	94411056	94413110	chr7:94400000-94450000	23	2.0	0.043478260869565216			"{""2.0"": 0.043478260869565216}"
ok	chr7:100023419|100031100	ZKSCAN1	chr7	100023419	100031100	chr7:100000000-100050000	23	1.9565217391304348	0.043478260869565216	0.04545454545454546	0.8368364960931192	"{""1.0"": 0.0, ""2.0"": 0.045454545454545456}"
ok	chr7:105090009|105109228	KMT2E	chr7	105090009	105109228	chr7:105050000-105100000	23	2.0	0.043478260869565216			"{""2.0"": 0.043478260869565216}"
ok	chr7:156756393|156763795	LMBR1	chr7	156756393	156763795	chr7:156750000-156800000	23	2.0	0.08695652173913043			"{""2.0"": 0.08695652173913043}"
ok	chr8:17098458|17120401	MICU3	chr8	17098458	17120401	chr8:17100000-17150000	23	2.0	0.13043478260869565			"{""2.0"": 0.13043478260869565}"
ok	chr8:23303311|23309861	LOXL2	chr8	23303311	23309861	chr8:23300000-23350000	23	2.0	0.13043478260869565			"{""2.0"": 0.13043478260869565}"
ok	chr8:29098869|29099241	KIF13B	chr8	29098869	29099241	chr8:29050000-29100000	23	2.0	0.043478260869565216			"{""2.0"": 0.043478260869565216}"
ok	chr8:61618978|61653660	ASPH;RN7SKP97	chr8	61618978	61653660	chr8:61600000-61650000	23	2.0	0.08695652173913043			"{""2.0"": 0.08695652173913043}"
ok	chr8:61680968|61684188	ASPH	chr8	61680968	61684188	chr8:61650000-61700000	23	2.0	0.34782608695652173			"{""2.0"": 0.34782608695652173}"
ok	chr8:67103037|67132080	CSPP1	chr8	67103037	67132080	chr8:67100000-67150000	23	2.0	0.13043478260869565			"{""2.0"": 0.13043478260869565}"
ok	chr8:140879471|140890769	PTK2	chr8	140879471	140890769	chr8:140850000-140900000	23	2.0	0.17391304347826086			"{""2.0"": 0.17391304347826086}"
ok	chr8:144138744|144139412	HGH1	chr8	144138744	144139412	chr8:144100000-144150000	23	1.9130434782608696	0.043478260869565216	-0.6908492797077576	0.00026264212294049274	"{""1.0"": 0.5, ""2.0"": 0.0}"
ok	chrX:47584982|47585609	ENSG00000283743;SYN1	chrX	47584982	47585609	chrX:47550000-47600000	23	2.0	0.08695652173913043			"{""2.0"": 0.08695652173913043}"
ok	chrX:54811026|54811277	MAGED2	chrX	54811026	54811277	chrX:54800000-54850000	23	2.0	0.043478260869565216			"{""2.0"": 0.043478260869565216}"
ok	chrX:140783175|140784659	LINC00632	chrX	140783175	140784659	chrX:140750000-140800000	23	1.9565217391304348	52.91304347826087	0.10123782986649159	0.6457833511856899	"{""1.0"": 43.0, ""2.0"": 53.36363636363637}"
ok	chr5:65242104|65273447	ADAMTS6;RPEP1	chr5	65242104	65273447	chr5:65250000-65300000	23	2.0	0.043478260869565216			"{""2.0"": 0.043478260869565216}"
ok	chr5:65451475|65473952	ADAMTS6	chr5	65451475	65473952	chr5:65450000-65500000	23	2.0	0.2608695652173913			"{""2.0"": 0.2608695652173913}"
ok	chr5:75581209|75583417	POLK	chr5	75581209	75583417	chr5:75550000-75600000	23	2.0	0.08695652173913043			"{""2.0"": 0.08695652173913043}"
ok	chr5:76616776|76617231	IQGAP2	chr5	76616776	76617231	chr5:76600000-76650000	23	2.0	0.17391304347826086			"{""2.0"": 0.17391304347826086}"
ok	chr5:79439010|79457018	HOMER1	chr5	79439010	79457018	chr5:79400000-79450000	23	2.0	0.043478260869565216			"{""2.0"": 0.043478260869565216}"
