rank_metric	host_gene	n_circRNAs	detected_cells	prevalence	total_support	mean_support	max_cell_support	sparsity	circ_ids	rank
prevalence_then_total_support	ENSG00000269967	3	15	0.078125	29.0	0.15104166666666666	4.0	0.921875	chr1:31915895|31919658;chr1:31910038|31931142;chr1:31911696|31919658	1
prevalence_then_total_support	ENSG00000288678	3	15	0.078125	29.0	0.15104166666666666	4.0	0.921875	chr1:31915895|31919658;chr1:31910038|31931142;chr1:31911696|31919658	2
prevalence_then_total_support	PTP4A2	3	15	0.078125	29.0	0.15104166666666666	4.0	0.921875	chr1:31915895|31919658;chr1:31910038|31931142;chr1:31911696|31919658	3
prevalence_then_total_support	MAN1A2	3	12	0.0625	31.0	0.16145833333333334	6.0	0.9375	chr1:117402186|117405645;chr1:117402186|117420649;chr1:117402186|117414831	4
prevalence_then_total_support	GTPBP3	3	12	0.0625	25.0	0.13020833333333334	7.0	0.9375	chr19:17332272|17339599;chr19:17332292|17339599;chr19:17332268|17339599	5
prevalence_then_total_support	PALS2	8	12	0.0625	23.0	0.11979166666666667	7.0	0.9375	chr7:24641716|24680520;chr7:24623666|24668660;chr7:24641716|24668660;chr7:24649612|24668660;chr7:24620052|24668660;chr7:24623666|24680520;chr7:24620052|24680520;chr7:24623663|24668660	6
prevalence_then_total_support	UBC	8	12	0.0625	14.0	0.07291666666666667	2.0	0.9375	chr12:124912507|124913646;chr12:124912584|124913267;chr12:124912507|124913190;chr12:124912181|124913320;chr12:124911900|124912583;chr12:124911900|124913723;chr12:124911823|124912734;chr12:124912409|124913320	7
prevalence_then_total_support	UBAP2	9	11	0.057291666666666664	58.0	0.3020833333333333	13.0	0.9427083333333334	chr9:33953285|33996333;chr9:33960826|33989126;chr9:33986760|34017189;chr9:33971651|33996333;chr9:33986760|33998864;chr9:33971651|33989126;chr9:33960826|33996333;chr9:34033981|34035284;chr9:33996223|34017189	8
prevalence_then_total_support	DYNC2I1	2	11	0.057291666666666664	29.0	0.15104166666666666	7.0	0.9427083333333334	chr7:158869855|158876691;chr7:158876609|158891333	9
prevalence_then_total_support	HSCB	2	11	0.057291666666666664	24.0	0.125	6.0	0.9427083333333334	chr22:28757078|28822179;chr22:28750037|28757271	10
prevalence_then_total_support	CCDC117	2	11	0.057291666666666664	22.0	0.11458333333333333	6.0	0.9427083333333334	chr22:28757078|28822179;chr22:28760121|28822179	11
prevalence_then_total_support	ENSG00000226471	2	11	0.057291666666666664	22.0	0.11458333333333333	6.0	0.9427083333333334	chr22:28757078|28822179;chr22:28760121|28822179	12
prevalence_then_total_support	ENSG00000272858	2	11	0.057291666666666664	22.0	0.11458333333333333	6.0	0.9427083333333334	chr22:28757078|28822179;chr22:28760121|28822179	13
prevalence_then_total_support	Y_RNA	9	9	0.046875	18.0	0.09375	7.0	0.953125	chr7:102330389|102384393;chr20:34377210|34385885;chr10:97409662|97437750;chr12:31500483|31507379;chr12:123348172|123350309;chr18:23022271|23026122;chr11:47721681|47732536;chr8:99431537|99577633;chr12:49129500|49186458	14
prevalence_then_total_support	RNA5SP469	1	9	0.046875	10.0	0.052083333333333336	2.0	0.953125	chr19:21091681|21153566	15
prevalence_then_total_support	RPL7AP10	1	9	0.046875	10.0	0.052083333333333336	2.0	0.953125	chr19:21091681|21153566	16
prevalence_then_total_support	DNAJC1	6	8	0.041666666666666664	27.0	0.140625	6.0	0.9583333333333334	chr10:21904522|21920963;chr10:21882282|21929141;chr10:21882282|21920963;chr10:21882282|21919929;chr10:21940385|21944835;chr10:21853717|21866057	17
prevalence_then_total_support	CHD2	6	8	0.041666666666666664	26.0	0.13541666666666666	9.0	0.9583333333333334	chr15:92996957|92998621;chr15:92920061|92924090;chr15:92996957|93002317;chr15:93000512|93009323;chr15:93015357|93019622;chr15:92921190|92946340	18
prevalence_then_total_support	LARP1B	4	8	0.041666666666666664	22.0	0.11458333333333333	5.0	0.9583333333333334	chr4:128074460|128091512;chr4:128074460|128082305;chr4:128074460|128077962;chr4:128074460|128091144	19
prevalence_then_total_support	N4BP2L2	5	7	0.036458333333333336	26.0	0.13541666666666666	8.0	0.9635416666666666	chr13:32517857|32527532;chr13:32481055|32483919;chr13:32486151|32487946;chr13:32525445|32532833;chr13:32530004|32533717	20
